cell,model,selection,n,n_raw_features,prevalence,AP_mean,AP_std,AUC_mean,AUC_std,elapsed_sec,cohort,rung,outcome
cohort_d|+ Gait Bout|henl_4gp_bin,LR-l2,Block PCA,186,446,0.25806451612903225,0.3291988181929756,0.07926278371023282,0.528289241622575,0.0960206054467904,8.5,cohort_d,+ Gait Bout,henl_4gp_bin
cohort_d|+ Gait Bout|henl_4gp_bin,LR-l1,Block PCA,186,446,0.25806451612903225,0.33323703361234197,0.07518113377419658,0.5132451499118166,0.10071185544838925,23.0,cohort_d,+ Gait Bout,henl_4gp_bin
cohort_d|+ Gait Bout|henl_4gp_bin,LR-elasticnet,Block PCA,186,446,0.25806451612903225,0.334749998841232,0.0751084457732367,0.5103527336860672,0.09948660551201391,25.3,cohort_d,+ Gait Bout,henl_4gp_bin
cohort_d|+ Gait Bout|henl_4gp_bin,SVC-RBF,Block PCA,186,446,0.25806451612903225,0.3061905509249371,0.06138988353846898,0.4859567901234569,0.08199646315096766,10.5,cohort_d,+ Gait Bout,henl_4gp_bin
cohort_d|+ Gait Bout|henl_4gp_bin,RF,Block PCA,186,446,0.25806451612903225,0.3009769837451844,0.04924724426411437,0.4906084656084656,0.07935402627323962,56.9,cohort_d,+ Gait Bout,henl_4gp_bin
cohort_d|+ Gait Bout|henl_4gp_bin,HistGB,Block PCA,186,446,0.25806451612903225,0.36782324711786285,0.07719097764151457,0.5109876543209877,0.07935614980139913,16.8,cohort_d,+ Gait Bout,henl_4gp_bin
cohort_8|Demographics|ad_adnc,LR-l2,Block PCA,146,6,0.6506849315068494,0.7481089739431345,0.06347499610516305,0.5736523125996809,0.07557718134372965,1.9,cohort_8,Demographics,ad_adnc
cohort_8|Demographics|ad_adnc,LR-l1,Block PCA,146,6,0.6506849315068494,0.7492638517463666,0.06239922961236854,0.5945454545454545,0.07373096550965594,2.1,cohort_8,Demographics,ad_adnc
cohort_8|Demographics|ad_adnc,LR-elasticnet,Block PCA,146,6,0.6506849315068494,0.7506593017003497,0.06323295720269984,0.5956299840510366,0.07167603941940963,2.2,cohort_8,Demographics,ad_adnc
cohort_8|Demographics|ad_adnc,SVC-RBF,Block PCA,146,6,0.6506849315068494,0.7583145964859331,0.06905802694921857,0.5875598086124401,0.07813423010804968,3.1,cohort_8,Demographics,ad_adnc
cohort_8|Demographics|ad_adnc,RF,Block PCA,146,6,0.6506849315068494,0.7443810150834848,0.04863539426386026,0.5610366826156299,0.06476967277051239,41.9,cohort_8,Demographics,ad_adnc
cohort_8|Demographics|ad_adnc,HistGB,Block PCA,146,6,0.6506849315068494,0.7790403914801658,0.04827778027437466,0.6136204146730464,0.07910136576087407,7.2,cohort_8,Demographics,ad_adnc
cohort_8|Demographics|lb_7reg,LR-l2,Block PCA,146,6,0.2054794520547945,0.27463200719988023,0.09110531600646776,0.47801932367149763,0.08542941076963534,2.1,cohort_8,Demographics,lb_7reg
cohort_8|Demographics|lb_7reg,LR-l1,Block PCA,146,6,0.2054794520547945,0.27376708776429315,0.06153144835758292,0.4872987117552335,0.08367877963307181,4.2,cohort_8,Demographics,lb_7reg
cohort_8|Demographics|lb_7reg,LR-elasticnet,Block PCA,146,6,0.2054794520547945,0.27444051691996285,0.07601149810016766,0.48192431561996774,0.09611653007564518,4.1,cohort_8,Demographics,lb_7reg
cohort_8|Demographics|lb_7reg,SVC-RBF,Block PCA,146,6,0.2054794520547945,0.2858503922882434,0.06754558380599948,0.5091183574879227,0.0886323273754934,3.2,cohort_8,Demographics,lb_7reg
cohort_8|Demographics|lb_7reg,RF,Block PCA,146,6,0.2054794520547945,0.28658827122382224,0.07129963598179766,0.5398047504025764,0.08791745981997616,41.5,cohort_8,Demographics,lb_7reg
cohort_8|Demographics|lb_7reg,HistGB,Block PCA,146,6,0.2054794520547945,0.3195687672499839,0.10058482447526286,0.6035628019323672,0.10017464979690327,7.2,cohort_8,Demographics,lb_7reg
cohort_8|Demographics|tdp_st4_bin,LR-l2,Block PCA,146,6,0.5616438356164384,0.7078337431302822,0.08027707616922594,0.6209590246354952,0.07898693246482835,2.0,cohort_8,Demographics,tdp_st4_bin
cohort_8|Demographics|tdp_st4_bin,LR-l1,Block PCA,146,6,0.5616438356164384,0.711860135341269,0.07753971161087604,0.6294934640522876,0.0881113263473327,2.1,cohort_8,Demographics,tdp_st4_bin
cohort_8|Demographics|tdp_st4_bin,LR-elasticnet,Block PCA,146,6,0.5616438356164384,0.707650813681539,0.07920716009024187,0.6231020613373555,0.08485608827869756,2.1,cohort_8,Demographics,tdp_st4_bin
cohort_8|Demographics|tdp_st4_bin,SVC-RBF,Block PCA,146,6,0.5616438356164384,0.6882564062594227,0.08386885565091075,0.6120286576168928,0.0784236206987341,2.8,cohort_8,Demographics,tdp_st4_bin
cohort_8|Demographics|tdp_st4_bin,RF,Block PCA,146,6,0.5616438356164384,0.7287397208749925,0.09515795455799066,0.6762757667169431,0.0883307696428343,41.6,cohort_8,Demographics,tdp_st4_bin
cohort_8|Demographics|tdp_st4_bin,HistGB,Block PCA,146,6,0.5616438356164384,0.6881384002362282,0.10260293421464489,0.6295500251382603,0.1049279286522414,7.3,cohort_8,Demographics,tdp_st4_bin
cohort_8|Demographics|arteriol_scler_bin,LR-l2,Block PCA,145,6,0.35172413793103446,0.5533999639185369,0.12884085461651862,0.6738968633705477,0.09612906101839018,2.1,cohort_8,Demographics,arteriol_scler_bin
cohort_8|Demographics|arteriol_scler_bin,LR-l1,Block PCA,145,6,0.35172413793103446,0.5315597448262943,0.13070696947844054,0.6568172957646643,0.1089149840079837,2.2,cohort_8,Demographics,arteriol_scler_bin
